GEO,Products,VECTOR
Newfoundland and Labrador,"Chicken drumsticks, per kilogram",v1353834350
Newfoundland and Labrador,"Bacon, 500 grams",v1159446985
Newfoundland and Labrador,"Wieners, 400 grams",v1159446986
Newfoundland and Labrador,"Salmon, per kilogram",v1458869962
Newfoundland and Labrador,"Shrimp, 300 grams",v1458869964
Newfoundland and Labrador,"Canned salmon, 213 grams",v1353834351
Newfoundland and Labrador,"Canned tuna, 170 grams",v1159446987
Newfoundland and Labrador,"Meatless burgers, 226 grams",v1458869955
Newfoundland and Labrador,"Milk, 1 litre",v1159446988
Newfoundland and Labrador,"Milk, 2 litres",v1159446989
Newfoundland and Labrador,"Soy milk, 1.89 litres",v1458869965
Newfoundland and Labrador,"Nut milk, 1.89 litres",v1458869956
Newfoundland and Labrador,"Cream, 1 litre",v1159446990
Newfoundland and Labrador,"Butter, 454 grams",v1159446991
Newfoundland and Labrador,"Margarine, 907 grams",v1458869954
Newfoundland and Labrador,"Block cheese, 500 grams",v1159446992
Newfoundland and Labrador,"Yogurt, 500 grams",v1159446993
Newfoundland and Labrador,"Eggs, 1 dozen",v1159446994
Newfoundland and Labrador,"Apples, per kilogram",v1159446995
Newfoundland and Labrador,"Oranges, per kilogram",v1159446996
Newfoundland and Labrador,"Oranges, 1.36 kilograms",v1159446997
Newfoundland and Labrador,"Bananas, per kilogram",v1159446998
Newfoundland and Labrador,"Pears, per kilogram",v1159446999
Newfoundland and Labrador,"Lemons, unit",v1159447000
Newfoundland and Labrador,"Limes, unit",v1353834352
Newfoundland and Labrador,"Grapes, per kilogram",v1159447001
Newfoundland and Labrador,"Cantaloupe, unit",v1159447002
Newfoundland and Labrador,"Strawberries, 454 grams",v1458869967
Newfoundland and Labrador,"Avocado, unit",v1159447003
Newfoundland and Labrador,"Potatoes, 4.54 kilograms",v1159447004
Newfoundland and Labrador,"Potatoes, per kilogram",v1353834353
Newfoundland and Labrador,"Sweet potatoes, per kilogram",v1353834354
Newfoundland and Labrador,"Tomatoes, per kilogram",v1159447005
Newfoundland and Labrador,"Cabbage, per kilogram",v1159447006
Newfoundland and Labrador,"Carrots, 1.36 kilograms",v1159447007
Newfoundland and Labrador,"Onions, per kilogram",v1159447008
Newfoundland and Labrador,"Onions, 1.36 kilograms",v1159447009
Newfoundland and Labrador,"Celery, unit",v1159447010
Newfoundland and Labrador,"Cucumber, unit",v1159447011
Newfoundland and Labrador,"Mushrooms, 227 grams",v1159447012
Newfoundland and Labrador,"Iceberg lettuce, unit",v1353834355
Newfoundland and Labrador,"Romaine lettuce, unit",v1353834717
Newfoundland and Labrador,"Broccoli, unit",v1159447013
Newfoundland and Labrador,"Peppers, per kilogram",v1159447014
Newfoundland and Labrador,"Squash, per kilogram",v1458869966
Newfoundland and Labrador,"Salad greens, 142 grams",v1458869961
Newfoundland and Labrador,"Frozen french fried potatoes, 750 grams",v1353834356
Newfoundland and Labrador,"Frozen green beans, 750 grams",v1353834357
Newfoundland and Labrador,"Frozen broccoli, 500 grams",v1353834358
Newfoundland and Labrador,"Frozen corn, 750 grams ",v1353834359
Newfoundland and Labrador,"Frozen mixed vegetables, 750 grams ",v1353834360
Newfoundland and Labrador,"Frozen peas, 750 grams",v1353834361
Newfoundland and Labrador,"Frozen pizza, 390 grams",v1458869948
Newfoundland and Labrador,"Frozen spinach, 300 grams",v1458869949
Newfoundland and Labrador,"Frozen strawberries, 600 grams",v1458869950
Newfoundland and Labrador,"White bread, 675 grams",v1353834362
Newfoundland and Labrador,"Flatbread and pita, 500 grams ",v1458869947
Newfoundland and Labrador,"Crackers and crisp breads, 200 grams ",v1458869945
Newfoundland and Labrador,"Cookies and sweet biscuits, 300 grams ",v1458869944
Newfoundland and Labrador,"Dry or fresh pasta, 500 grams",v1353834363
Newfoundland and Labrador,"Brown rice, 900 grams ",v1458869939
Newfoundland and Labrador,"White rice, 2 kilograms",v1458869970
Newfoundland and Labrador,"Cereal, 400 grams",v1353834364
Newfoundland and Labrador,"Wheat flour, 2.5 kilograms",v1353834365
Newfoundland and Labrador,"White sugar, 2 kilograms",v1353834366
Newfoundland and Labrador,"Apple juice, 2 litres",v1353834367
Newfoundland and Labrador,"Orange juice, 2 litres",v1353834368
Newfoundland and Labrador,"Roasted or ground coffee, 340 grams",v1353834369
Newfoundland and Labrador,Tea (20 bags),v1353834370
Newfoundland and Labrador,"Ketchup, 1 litre",v1353834371
Newfoundland and Labrador,"Vegetable oil, 3 litres",v1353834372
Newfoundland and Labrador,"Canola oil, 3 litres",v1458869943
Newfoundland and Labrador,"Olive oil, 1 litre",v1458869957
Newfoundland and Labrador,"Baby food, 128 millilitres",v1353834373
Newfoundland and Labrador,"Infant formula, 900 grams ",v1458869952
Newfoundland and Labrador,"Peanut butter, 1 kilogram",v1353834374
Newfoundland and Labrador,"Mayonnaise, 890 millilitres ",v1353834375
Newfoundland and Labrador,"Canned baked beans, 398 millilitres",v1353834376
Newfoundland and Labrador,"Canned tomatoes, 796 millilitres",v1353834377
Newfoundland and Labrador,"Canned soup, 284 millilitres",v1353834378
Newfoundland and Labrador,"Canned beans and lentils, 540 millilitres",v1353834379
Newfoundland and Labrador,"Canned corn, 341 millilitres",v1458869940
Newfoundland and Labrador,"Canned peach, 398 millilitres",v1458869941
Newfoundland and Labrador,"Canned pear, 398 millilitres",v1458869942
Newfoundland and Labrador,"Dried lentils, 900 grams",v1353834380
Newfoundland and Labrador,"Dry beans and legumes, 900 grams ",v1458869946
Newfoundland and Labrador,"Tofu, 350 grams ",v1458869969
Newfoundland and Labrador,"Hummus, 227 grams",v1458869951
Newfoundland and Labrador,"Salsa, 418 millilitres",v1458869963
Newfoundland and Labrador,"Pasta sauce, 650 millilitres",v1458869958
Newfoundland and Labrador,"Salad dressing, 475 millilitres",v1458869960
Newfoundland and Labrador,"Almonds, 200 grams",v1458869938
Newfoundland and Labrador,"Peanuts, 450 grams",v1458869959
Newfoundland and Labrador,"Sunflower seeds, 400 grams ",v1458869968
Newfoundland and Labrador,"Deodorant, 85 grams",v1353834381
Newfoundland and Labrador,"Toothpaste, 100 millilitres",v1353834382
Newfoundland and Labrador,"Shampoo, 400 millilitres",v1353834383
Newfoundland and Labrador,"Laundry detergent, 4.43 litres",v1458869953
Prince Edward Island,"Beef stewing cuts, per kilogram",v1159447015
Prince Edward Island,"Beef striploin cuts, per kilogram",v1159447016
Prince Edward Island,"Beef top sirloin cuts, per kilogram",v1159447017
Prince Edward Island,"Beef rib cuts, per kilogram",v1353834384
Prince Edward Island,"Ground beef, per kilogram",v1159447018
Prince Edward Island,"Pork loin cuts, per kilogram",v1159447019
Prince Edward Island,"Pork rib cuts, per kilogram",v1159447020
Prince Edward Island,"Pork shoulder cuts, per kilogram",v1353834385
Prince Edward Island,"Whole chicken, per kilogram",v1159447021
Prince Edward Island,"Chicken breasts, per kilogram",v1159447022
Prince Edward Island,"Chicken thigh, per kilogram",v1159447023
Prince Edward Island,"Chicken drumsticks, per kilogram",v1353834386
Prince Edward Island,"Bacon, 500 grams",v1159447024
Prince Edward Island,"Wieners, 400 grams",v1159447025
Prince Edward Island,"Salmon, per kilogram",v1458869995
Prince Edward Island,"Shrimp, 300 grams",v1458869997
Prince Edward Island,"Canned salmon, 213 grams",v1353834387
Prince Edward Island,"Canned tuna, 170 grams",v1159447026
Prince Edward Island,"Meatless burgers, 226 grams",v1458869988
Prince Edward Island,"Milk, 1 litre",v1159447027
Prince Edward Island,"Milk, 2 litres",v1159447028
Prince Edward Island,"Milk, 4 litres",v1159447029
Prince Edward Island,"Soy milk, 1.89 litres",v1458869998
Prince Edward Island,"Nut milk, 1.89 litres",v1458869989
Prince Edward Island,"Cream, 1 litre",v1159447030
Prince Edward Island,"Butter, 454 grams",v1159447031
Prince Edward Island,"Margarine, 907 grams",v1458869987
Prince Edward Island,"Block cheese, 500 grams",v1159447032
Prince Edward Island,"Yogurt, 500 grams",v1159447033
Prince Edward Island,"Eggs, 1 dozen",v1159447034
Prince Edward Island,"Apples, per kilogram",v1159447035
Prince Edward Island,"Oranges, per kilogram",v1159447036
Prince Edward Island,"Oranges, 1.36 kilograms",v1159447037
Prince Edward Island,"Bananas, per kilogram",v1159447038
Prince Edward Island,"Pears, per kilogram",v1159447039
Prince Edward Island,"Lemons, unit",v1159447040
Prince Edward Island,"Limes, unit",v1353834388
Prince Edward Island,"Grapes, per kilogram",v1159447041
Prince Edward Island,"Cantaloupe, unit",v1159447042
Prince Edward Island,"Strawberries, 454 grams",v1458870000
Prince Edward Island,"Avocado, unit",v1159447043
Prince Edward Island,"Potatoes, 4.54 kilograms",v1159447044
Prince Edward Island,"Potatoes, per kilogram",v1353834389
Prince Edward Island,"Sweet potatoes, per kilogram",v1353834390
Prince Edward Island,"Tomatoes, per kilogram",v1159447045
Prince Edward Island,"Cabbage, per kilogram",v1159447046
Prince Edward Island,"Carrots, 1.36 kilograms",v1159447047
Prince Edward Island,"Onions, per kilogram",v1159447048
Prince Edward Island,"Onions, 1.36 kilograms",v1159447049
Prince Edward Island,"Celery, unit",v1159447050
Prince Edward Island,"Cucumber, unit",v1159447051
Prince Edward Island,"Mushrooms, 227 grams",v1159447052
Prince Edward Island,"Iceberg lettuce, unit",v1353834391
Prince Edward Island,"Romaine lettuce, unit",v1353834392
Prince Edward Island,"Broccoli, unit",v1159447053
Prince Edward Island,"Peppers, per kilogram",v1159447054
Prince Edward Island,"Squash, per kilogram",v1458869999
Prince Edward Island,"Salad greens, 142 grams",v1458869994
Prince Edward Island,"Frozen french fried potatoes, 750 grams",v1353834393
Prince Edward Island,"Frozen green beans, 750 grams",v1353834394
Prince Edward Island,"Frozen broccoli, 500 grams",v1353834395
Prince Edward Island,"Frozen corn, 750 grams ",v1353834396
Prince Edward Island,"Frozen mixed vegetables, 750 grams ",v1353834397
Prince Edward Island,"Frozen peas, 750 grams",v1353834398
Prince Edward Island,"Frozen pizza, 390 grams",v1458869981
Prince Edward Island,"Frozen spinach, 300 grams",v1458869982
Prince Edward Island,"Frozen strawberries, 600 grams",v1458869983
Prince Edward Island,"White bread, 675 grams",v1353834399
Prince Edward Island,"Flatbread and pita, 500 grams ",v1458869980
Prince Edward Island,"Crackers and crisp breads, 200 grams ",v1458869978
Prince Edward Island,"Cookies and sweet biscuits, 300 grams ",v1458869977
Prince Edward Island,"Dry or fresh pasta, 500 grams",v1353834400
Prince Edward Island,"Brown rice, 900 grams ",v1458869972
Prince Edward Island,"White rice, 2 kilograms",v1458870003
Prince Edward Island,"Cereal, 400 grams",v1353834401
Prince Edward Island,"Wheat flour, 2.5 kilograms",v1353834402
Prince Edward Island,"White sugar, 2 kilograms",v1353834403
Prince Edward Island,"Apple juice, 2 litres",v1353834404
Prince Edward Island,"Orange juice, 2 litres",v1353834405
Prince Edward Island,"Roasted or ground coffee, 340 grams",v1353834406
Prince Edward Island,Tea (20 bags),v1353834407
Prince Edward Island,"Ketchup, 1 litre",v1353834408
Prince Edward Island,"Vegetable oil, 3 litres",v1353834409
Prince Edward Island,"Canola oil, 3 litres",v1458869976
Prince Edward Island,"Olive oil, 1 litre",v1458869990
Prince Edward Island,"Baby food, 128 millilitres",v1353834410
Prince Edward Island,"Infant formula, 900 grams ",v1458869985
Prince Edward Island,"Peanut butter, 1 kilogram",v1353834411
Prince Edward Island,"Mayonnaise, 890 millilitres ",v1353834412
Prince Edward Island,"Canned baked beans, 398 millilitres",v1353834413
Prince Edward Island,"Canned tomatoes, 796 millilitres",v1353834414
Prince Edward Island,"Canned soup, 284 millilitres",v1353834415
Prince Edward Island,"Canned beans and lentils, 540 millilitres",v1353834416
Prince Edward Island,"Canned corn, 341 millilitres",v1458869973
Prince Edward Island,"Canned peach, 398 millilitres",v1458869974
Prince Edward Island,"Canned pear, 398 millilitres",v1458869975
Prince Edward Island,"Dried lentils, 900 grams",v1353834417
Prince Edward Island,"Dry beans and legumes, 900 grams ",v1458869979
Prince Edward Island,"Tofu, 350 grams ",v1458870002
Prince Edward Island,"Hummus, 227 grams",v1458869984
Prince Edward Island,"Salsa, 418 millilitres",v1458869996
Prince Edward Island,"Pasta sauce, 650 millilitres",v1458869991
Prince Edward Island,"Salad dressing, 475 millilitres",v1458869993
Prince Edward Island,"Almonds, 200 grams",v1458869971
Prince Edward Island,"Peanuts, 450 grams",v1458869992
Prince Edward Island,"Sunflower seeds, 400 grams ",v1458870001
Prince Edward Island,"Deodorant, 85 grams",v1353834418
Prince Edward Island,"Toothpaste, 100 millilitres",v1353834419
Prince Edward Island,"Shampoo, 400 millilitres",v1353834420
Prince Edward Island,"Laundry detergent, 4.43 litres",v1458869986
Nova Scotia,"Beef stewing cuts, per kilogram",v1159447055
Nova Scotia,"Beef striploin cuts, per kilogram",v1159447056
Nova Scotia,"Beef top sirloin cuts, per kilogram",v1159447057
Nova Scotia,"Beef rib cuts, per kilogram",v1353834421
Nova Scotia,"Ground beef, per kilogram",v1159447058
Nova Scotia,"Pork loin cuts, per kilogram",v1159447059
Nova Scotia,"Pork rib cuts, per kilogram",v1159447060
Nova Scotia,"Pork shoulder cuts, per kilogram",v1353834422
Nova Scotia,"Whole chicken, per kilogram",v1159447061
Nova Scotia,"Chicken breasts, per kilogram",v1159447062
Nova Scotia,"Chicken thigh, per kilogram",v1159447063
Nova Scotia,"Chicken drumsticks, per kilogram",v1353834423
Nova Scotia,"Bacon, 500 grams",v1159447064
Nova Scotia,"Wieners, 400 grams",v1159447065
Nova Scotia,"Salmon, per kilogram",v1458870028
Nova Scotia,"Shrimp, 300 grams",v1458870030
Nova Scotia,"Canned salmon, 213 grams",v1353834424
Nova Scotia,"Canned tuna, 170 grams",v1159447066
Nova Scotia,"Meatless burgers, 226 grams",v1458870021
Nova Scotia,"Milk, 1 litre",v1159447067
Nova Scotia,"Milk, 2 litres",v1159447068
Nova Scotia,"Milk, 4 litres",v1159447069
Nova Scotia,"Soy milk, 1.89 litres",v1458870031
Nova Scotia,"Nut milk, 1.89 litres",v1458870022
Nova Scotia,"Cream, 1 litre",v1159447070
Nova Scotia,"Butter, 454 grams",v1159447071
Nova Scotia,"Margarine, 907 grams",v1458870020
Nova Scotia,"Block cheese, 500 grams",v1159447072
Nova Scotia,"Yogurt, 500 grams",v1159447073
Nova Scotia,"Eggs, 1 dozen",v1159447074
Nova Scotia,"Apples, per kilogram",v1159447075
Nova Scotia,"Oranges, per kilogram",v1159447076
Nova Scotia,"Oranges, 1.36 kilograms",v1159447077
Nova Scotia,"Bananas, per kilogram",v1159447078
Nova Scotia,"Pears, per kilogram",v1159447079
Nova Scotia,"Lemons, unit",v1159447080
Nova Scotia,"Limes, unit",v1353834425
Nova Scotia,"Grapes, per kilogram",v1159447081
Nova Scotia,"Cantaloupe, unit",v1159447082
Nova Scotia,"Strawberries, 454 grams",v1458870033
Nova Scotia,"Avocado, unit",v1159447083
Nova Scotia,"Potatoes, 4.54 kilograms",v1159447084
Nova Scotia,"Potatoes, per kilogram",v1353834426
Nova Scotia,"Sweet potatoes, per kilogram",v1353834427
Nova Scotia,"Tomatoes, per kilogram",v1159447085
Nova Scotia,"Cabbage, per kilogram",v1159447086
Nova Scotia,"Carrots, 1.36 kilograms",v1159447087
Nova Scotia,"Onions, per kilogram",v1159447088
Nova Scotia,"Onions, 1.36 kilograms",v1159447089
Nova Scotia,"Celery, unit",v1159447090
Nova Scotia,"Cucumber, unit",v1159447091
Nova Scotia,"Mushrooms, 227 grams",v1159447092
Nova Scotia,"Iceberg lettuce, unit",v1353834428
Nova Scotia,"Romaine lettuce, unit",v1353834429
Nova Scotia,"Broccoli, unit",v1159447093
Nova Scotia,"Peppers, per kilogram",v1159447094
Nova Scotia,"Squash, per kilogram",v1458870032
Nova Scotia,"Salad greens, 142 grams",v1458870027
Nova Scotia,"Frozen french fried potatoes, 750 grams",v1353834430
Nova Scotia,"Frozen green beans, 750 grams",v1353834431
Nova Scotia,"Frozen broccoli, 500 grams",v1353834432
Nova Scotia,"Frozen corn, 750 grams ",v1353834433
Nova Scotia,"Frozen mixed vegetables, 750 grams ",v1353834434
Nova Scotia,"Frozen peas, 750 grams",v1353834435
Nova Scotia,"Frozen pizza, 390 grams",v1458870014
Nova Scotia,"Frozen spinach, 300 grams",v1458870015
Nova Scotia,"Frozen strawberries, 600 grams",v1458870016
Nova Scotia,"White bread, 675 grams",v1353834436
Nova Scotia,"Flatbread and pita, 500 grams ",v1458870013
Nova Scotia,"Crackers and crisp breads, 200 grams ",v1458870011
Nova Scotia,"Cookies and sweet biscuits, 300 grams ",v1458870010
Nova Scotia,"Dry or fresh pasta, 500 grams",v1353834437
Nova Scotia,"Brown rice, 900 grams ",v1458870005
Nova Scotia,"White rice, 2 kilograms",v1458870036
Nova Scotia,"Cereal, 400 grams",v1353834438
Nova Scotia,"Wheat flour, 2.5 kilograms",v1353834439
Nova Scotia,"White sugar, 2 kilograms",v1353834440
Nova Scotia,"Apple juice, 2 litres",v1353834441
Nova Scotia,"Orange juice, 2 litres",v1353834442
Nova Scotia,"Roasted or ground coffee, 340 grams",v1353834443
Nova Scotia,Tea (20 bags),v1353834444
Nova Scotia,"Ketchup, 1 litre",v1353834445
Nova Scotia,"Vegetable oil, 3 litres",v1353834446
Nova Scotia,"Canola oil, 3 litres",v1458870009
Nova Scotia,"Olive oil, 1 litre",v1458870023
Nova Scotia,"Baby food, 128 millilitres",v1353834447
Nova Scotia,"Infant formula, 900 grams ",v1458870018
Nova Scotia,"Peanut butter, 1 kilogram",v1353834448
Nova Scotia,"Mayonnaise, 890 millilitres ",v1353834449
Nova Scotia,"Canned baked beans, 398 millilitres",v1353834450
Nova Scotia,"Canned tomatoes, 796 millilitres",v1353834451
Nova Scotia,"Canned soup, 284 millilitres",v1353834452
Nova Scotia,"Canned beans and lentils, 540 millilitres",v1353834453
Nova Scotia,"Canned corn, 341 millilitres",v1458870006
Nova Scotia,"Canned peach, 398 millilitres",v1458870007
Nova Scotia,"Canned pear, 398 millilitres",v1458870008
Nova Scotia,"Dried lentils, 900 grams",v1353834454
Nova Scotia,"Dry beans and legumes, 900 grams ",v1458870012
Nova Scotia,"Tofu, 350 grams ",v1458870035
Nova Scotia,"Hummus, 227 grams",v1458870017
Nova Scotia,"Salsa, 418 millilitres",v1458870029
Nova Scotia,"Pasta sauce, 650 millilitres",v1458870024
Nova Scotia,"Salad dressing, 475 millilitres",v1458870026
Nova Scotia,"Almonds, 200 grams",v1458870004
Nova Scotia,"Peanuts, 450 grams",v1458870025
Nova Scotia,"Sunflower seeds, 400 grams ",v1458870034
Nova Scotia,"Deodorant, 85 grams",v1353834455
Nova Scotia,"Toothpaste, 100 millilitres",v1353834456
Nova Scotia,"Shampoo, 400 millilitres",v1353834457
Nova Scotia,"Laundry detergent, 4.43 litres",v1458870019
New Brunswick,"Beef stewing cuts, per kilogram",v1159447095
New Brunswick,"Beef striploin cuts, per kilogram",v1159447096
New Brunswick,"Beef top sirloin cuts, per kilogram",v1159447097
New Brunswick,"Beef rib cuts, per kilogram",v1353834458
New Brunswick,"Ground beef, per kilogram",v1159447098
New Brunswick,"Pork loin cuts, per kilogram",v1159447099
New Brunswick,"Pork rib cuts, per kilogram",v1159447100
New Brunswick,"Pork shoulder cuts, per kilogram",v1353834459
New Brunswick,"Whole chicken, per kilogram",v1159447101
New Brunswick,"Chicken breasts, per kilogram",v1159447102
New Brunswick,"Chicken thigh, per kilogram",v1159447103
New Brunswick,"Chicken drumsticks, per kilogram",v1353834460
New Brunswick,"Bacon, 500 grams",v1159447104
New Brunswick,"Wieners, 400 grams",v1159447105
New Brunswick,"Salmon, per kilogram",v1458870061
New Brunswick,"Shrimp, 300 grams",v1458870063
New Brunswick,"Canned salmon, 213 grams",v1353834461
New Brunswick,"Canned tuna, 170 grams",v1159447106
New Brunswick,"Meatless burgers, 226 grams",v1458870054
New Brunswick,"Milk, 1 litre",v1159447107
New Brunswick,"Milk, 2 litres",v1159447108
New Brunswick,"Milk, 4 litres",v1159447109
New Brunswick,"Soy milk, 1.89 litres",v1458870064
New Brunswick,"Nut milk, 1.89 litres",v1458870055
New Brunswick,"Cream, 1 litre",v1159447110
New Brunswick,"Butter, 454 grams",v1159447111
New Brunswick,"Margarine, 907 grams",v1458870053
New Brunswick,"Block cheese, 500 grams",v1159447112
New Brunswick,"Yogurt, 500 grams",v1159447113
New Brunswick,"Eggs, 1 dozen",v1159447114
New Brunswick,"Apples, per kilogram",v1159447115
New Brunswick,"Oranges, per kilogram",v1159447116
New Brunswick,"Oranges, 1.36 kilograms",v1159447117
New Brunswick,"Bananas, per kilogram",v1159447118
New Brunswick,"Pears, per kilogram",v1159447119
New Brunswick,"Lemons, unit",v1159447120
New Brunswick,"Limes, unit",v1353834462
New Brunswick,"Grapes, per kilogram",v1159447121
New Brunswick,"Cantaloupe, unit",v1159447122
New Brunswick,"Strawberries, 454 grams",v1458870066
New Brunswick,"Avocado, unit",v1159447123
New Brunswick,"Potatoes, 4.54 kilograms",v1159447124
New Brunswick,"Potatoes, per kilogram",v1353834463
New Brunswick,"Sweet potatoes, per kilogram",v1353834464
New Brunswick,"Tomatoes, per kilogram",v1159447125
New Brunswick,"Cabbage, per kilogram",v1159447126
New Brunswick,"Carrots, 1.36 kilograms",v1159447127
New Brunswick,"Onions, per kilogram",v1159447128
New Brunswick,"Onions, 1.36 kilograms",v1159447129
New Brunswick,"Celery, unit",v1159447130
New Brunswick,"Cucumber, unit",v1159447131
New Brunswick,"Mushrooms, 227 grams",v1159447132
New Brunswick,"Iceberg lettuce, unit",v1353834465
New Brunswick,"Romaine lettuce, unit",v1353834466
New Brunswick,"Broccoli, unit",v1159447133
New Brunswick,"Peppers, per kilogram",v1159447134
New Brunswick,"Squash, per kilogram",v1458870065
